Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Fehérje,Zsír,Szénhidrát,Víz,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,Telített zsírsav,Többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,Rost,Cukor,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,Egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
szeder,gyümölcsök,bogyós gyümölcs,1.39,0.341,9.61,88.15,0.022,0.02,0.001,0.029,0.03,0.0085,0.000646,0.021,0.014,0.28,0.00062,0.00053,0.000165,0.000646,0.4,5.3,4.88,2e-05,2.6e-05,0.00027600000000000004,25.0,0.00117,,,0.047,128.0,118.0,19.8,11.0,,,,,,
eper,gyümölcsök,bogyós gyümölcs,0.67,0.213,7.68,90.95,0.024,0.013,0.001,0.016,0.047,0.0057,0.000386,0.0588,0.015,0.155,0.00041,0.00014000000000000001,4.8e-05,0.000386,0.4,2.0,4.89,2.4e-05,2.2e-05,0.000125,24.0,0.00029,,,0.043,7.0,26.0,2.2,1.0,,,,,,
narancs,gyümölcsök,déli gyümölcs,0.94,0.063,11.75,86.75,0.014,0.01,,0.04,0.06,0.008400000000000001,0.00028199999999999997,0.053200000000000004,0.015,0.025,0.0001,7.000000000000001e-05,4.4999999999999996e-05,2.5e-05,0.5,2.4,9.35,8.7e-05,4e-05,0.00025,30.0,0.00017999999999999998,,,0.023,71.0,129.0,,11.0,,11.0,116.0,,,
uborka,zöldségek,egyéb zöldség,0.65,0.074,3.63,95.23,0.024,0.013,0.002,0.016,0.04,0.006,9.800000000000001e-05,0.0028,0.037,0.032,0.00028000000000000003,0.0002,4.1e-05,7.9e-05,0.3,0.5,1.67,2.7e-05,3.3e-05,0.000259,7.0,2.9999999999999997e-05,,,0.005,45.0,23.0,16.4,5.0,,11.0,26.0,,,
joghurt,tejtermékek,"kefír, joghurt",3.47,13003.081,4.66,87.9,0.095,0.012,0.046,0.121,0.032,0.0152,7.5e-05,0.0005,2.096,0.092,5e-05,0.0005899999999999999,8.999999999999999e-06,4e-06,2.2,,4.66,2.9e-05,0.00014199999999999998,0.000389,7.0,5.9999999999999995e-05,2.0,0.37,0.893,5.0,,0.2,27.0,,,,13.0,27.0,
lime,gyümölcsök,déli gyümölcs,0.7,0.096,10.54,88.26,0.018,0.006,0.002,0.033,0.043,0.0050999999999999995,0.0002,0.0291,0.022,0.055,0.0006,0.00011,6.500000000000001e-05,8e-06,0.4,2.8,1.69,2.9999999999999997e-05,2e-05,0.000217,8.0,0.00022,,,0.019,30.0,,0.6,2.0,,,,,,
banán,gyümölcsök,déli gyümölcs,1.09,0.217,22.84,74.91,0.022,0.027,0.001,0.005,0.367,0.009800000000000001,0.000665,0.0087,0.112,0.073,0.00026000000000000003,0.00015,7.8e-05,0.00027,1.0,2.6,12.23,3.1e-05,7.3e-05,0.00033400000000000004,20.0,0.0001,,,0.032,26.0,22.0,0.5,3.0,,25.0,,,,
gránátalma,gyümölcsök,déli gyümölcs,1.67,0.292,18.7,77.93,0.036,0.012,0.003,0.01,0.075,0.0076,0.00029299999999999997,0.010199999999999999,0.12,0.079,0.0003,0.00035,0.000158,0.00011899999999999999,0.5,4.0,13.67,6.7e-05,5.3e-05,0.000377,38.0,0.0006,,,0.093,,,16.4,,,,,,,
ananász,gyümölcsök,déli gyümölcs,0.54,0.062,13.12,86.0,0.008,0.012,0.001,0.013,0.112,0.0055,0.0005,0.047799999999999995,0.009,0.04,0.00029,0.00011999999999999999,0.00011,0.0009270000000000001,0.1,1.4,9.85,7.9e-05,3.2e-05,0.000213,18.0,2e-05,,,0.013,35.0,,0.7,3.0,,,,,,
gesztenye,gyümölcsök,diófélék,1.63,1.158,44.17,52.0,0.038,0.03,0.002,0.019,0.352,,0.0011020000000000001,0.0402,0.235,0.493,0.00094,0.00049,0.00041799999999999997,0.00033600000000000004,,,,0.00014399999999999998,1.6e-05,0.00047599999999999997,58.0,,,,0.43,,,,1.0,,,,,,
csirke,"húsok, belsőségek",csirkehús,18.6,75013.78,0.0,65.99,0.147,0.02,0.07,0.011,0.35,0.0597,0.006801,0.0016,4.31,3.23,0.0009,0.00131,4.8e-05,1.9e-05,14.4,,,5.9999999999999995e-05,0.00011999999999999999,0.00091,6.0,0.0003,10.0,0.31,6.24,,,1.5,41.0,,,,75.0,41.0,
marhahús,"húsok, belsőségek",marha,21.59,61004.812,0.0,72.19,0.211,0.024,0.062,0.005,0.721,0.0874,0.00638,,2.0,0.309,0.0025299999999999997,0.00394,0.000134,1.9e-05,32.3,,,7.3e-05,0.000204,0.00069,6.0,8e-05,,4.34,2.503,,,,,,,,61.0,,
sertéshús,"húsok, belsőségek",sertés,21.34,64011.228,0.0,70.14,0.216,0.024,0.047,0.007,0.718,0.0573,0.005566,,2.76,1.987,0.00053,0.00173,5.6e-05,7e-06,26.5,,,0.000426,0.00018099999999999998,0.000722,,0.00011999999999999999,21.0,0.54,6.481,,,,2.0,,,,64.0,2.0,
borjúhús,"húsok, belsőségek",borjú,20.98,78002.54,0.0,74.8,0.22,0.026,0.063,0.005,0.46,0.0895,0.00942,,1.18,0.24,0.00079,0.0023,0.000108,2.9e-05,9.0,,,8e-05,0.00027,0.00107,14.0,0.0003,,1.04,1.12,,,3.9,,,,,78.0,,
bárányhús,"húsok, belsőségek",bárány,16.88,72020.03,0.0,60.7,0.16,0.022,0.058,0.012,0.13,,0.0060999999999999995,,9.47,1.7,0.00157,0.00333,0.000104,1.9e-05,19.8,,,0.00011999999999999999,0.00022,0.00067,18.0,0.00020999999999999998,,2.39,8.86,,,,,,,,72.0,,
bacon,"felvágottak, húskrémek",szalonna,13.66,66034.294,0.0,46.74,0.166,0.013,0.751,0.006,0.266,0.047799999999999995,0.004022,,12.615,5.757,0.00038,0.00114,4.6e-05,1.2e-05,20.1,,0.35,0.00027600000000000004,8.1e-05,0.000555,,0.00043,16.0,0.5,15.922,,,,11.0,,,,66.0,11.0,
tonhal,halak,tengeri hal,23.33,38004.29,0.0,68.09,0.254,0.05,0.039,0.008,0.455,0.065,0.008654,,1.257,1.433,0.00102,0.0006,8.599999999999999e-05,1.4999999999999999e-05,36.5,,,0.000241,0.000251,0.001054,2.0,0.001,227.0,9.43,1.6,,,,655.0,,,,38.0,655.0,
lazac,halak,tengeri hal,20.5,46002.969,0.0,75.52,0.261,0.027,0.075,0.007,0.611,0.09459999999999999,0.007995,,0.81,0.811,0.00038,0.00039,6.3e-05,1.1e-05,31.4,,,8e-05,0.00010499999999999999,0.00103,4.0,0.0004,435.0,4.15,1.348,,,0.4,35.0,,,,46.0,35.0,
padlizsán,zöldségek,egyéb zöldség,0.98,0.126,5.88,92.3,0.024,0.014,0.002,0.009,0.084,0.006900000000000001,0.0006490000000000001,0.0022,0.034,0.076,0.00023,0.00016,8.1e-05,0.000232,0.3,3.0,3.53,3.9e-05,3.7e-05,0.00028100000000000005,22.0,0.0003,,,0.016,14.0,36.0,3.5,1.0,,,,,,
ponty,halak,édesvizi hal,17.83,66004.842,0.0,76.31,0.415,0.029,0.049,0.041,0.19,0.065,0.00164,0.0016,1.083,1.431,0.00124,0.00148,5.7e-05,4.2000000000000004e-05,12.6,,,0.000115,5.5e-05,0.00075,15.0,0.00063,988.0,1.53,2.328,,,0.1,9.0,,,,66.0,9.0,
nyelvhal,halak,tengeri hal,12.41,45001.35,0.0,84.63,0.252,0.018,0.296,0.021,0.098,0.065,0.0010400000000000001,,0.441,0.374,0.00017999999999999998,0.00032,1.9e-05,1.4e-05,26.6,,,2.2e-05,2e-05,0.000185,5.0,0.00063,113.0,1.13,0.535,,,0.1,10.0,,,,45.0,10.0,
spenót,zöldségek,levélzöldség,2.86,0.238,3.63,91.4,0.049,0.079,0.079,0.099,0.195,0.0193,0.0007239999999999999,0.0281,0.063,0.165,0.00271,0.00053,0.00013000000000000002,0.000897,1.0,2.2,0.42,7.8e-05,0.000189,6.500000000000001e-05,194.0,0.0020299999999999997,,,0.01,5626.0,12198.0,482.9,469.0,,,,,,
pulykahús,"húsok, belsőségek",pulyka,22.64,67001.347,0.14,75.37,0.19,0.027,0.118,0.011,0.652,0.060200000000000004,0.0081,,0.459,0.411,0.00086,0.00184,7.9e-05,1.2e-05,22.6,,0.07,5e-05,0.000192,0.000844,7.0,8.999999999999999e-05,8.0,1.24,0.477,,,,9.0,,,,67.0,9.0,
lencse,zöldségek,hüvelyesek,24.63,0.873,63.35,8.26,0.281,0.047,0.006,0.035,0.54,0.0964,0.002605,0.0045,0.154,0.526,0.00651,0.00327,0.000754,0.001393,0.1,10.7,2.03,0.000873,0.000211,0.00214,479.0,0.00049,,,0.193,23.0,,5.0,2.0,,,,,,
oregánó,ízesítők,friss fűszernövény,9.0,3.636,68.92,9.93,0.148,0.27,0.025,1.597,1.044,0.032299999999999995,0.00464,0.0023,1.551,1.369,0.0368,0.00269,0.000633,0.0049900000000000005,4.5,42.5,4.09,0.000177,0.000528,0.000921,237.0,0.018260000000000002,,,0.716,1007.0,1895.0,621.7,85.0,,20.0,7.0,,,
vanília,ízesítők,szárított fűszer,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tej,tejtermékek,tejek,3.0,1.0,4.0,0.0,,,0.05,0.114,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
fahéj,ízesítők,szárított fűszer,3.99,0.659,80.59,10.58,0.064,0.06,0.01,1.002,0.158,0.011,0.001332,0.0038,0.345,0.068,0.008320000000000001,0.00183,0.000339,0.017466000000000002,3.1,53.1,2.17,2.2e-05,4.1e-05,0.000358,6.0,0.00232,,,0.246,112.0,222.0,31.2,15.0,15.0,1.0,129.0,,,
szegfűszeg,ízesítők,szárított fűszer,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mák,"gyógynövények, virágok",termés,17.99,39.068,28.13,5.95,0.87,0.347,0.026,1.438,0.247,0.0088,0.000896,0.001,4.517,28.569,0.00976,0.0079,0.001627,0.006706999999999999,13.5,19.5,2.99,0.0008539999999999999,0.0001,0.000324,82.0,0.00177,,,5.982,,,,,,,,,,
koktélrák,tenger gyümölcsei,tenger gyümölcsei,13.61,126000.737,0.91,83.01,0.244,0.022,0.566,0.054,0.161,0.0809,0.001778,,0.261,0.295,0.00020999999999999998,0.0009699999999999999,0.000182,2.9e-05,29.6,,,2e-05,1.4999999999999999e-05,0.00031,19.0,0.00132,2.0,1.11,0.181,,,0.3,54.0,,,,126.0,54.0,
szardella (konzerv),halak,halkészítmények,28.89,85008.535,0.0,50.3,0.252,0.069,3.668,0.232,0.203,0.085,0.019902999999999997,,2.203,2.562,0.00463,0.00244,0.000339,0.0001,68.1,,,7.8e-05,0.000363,0.000909,13.0,0.00333,69.0,0.88,3.77,,,12.1,12.0,,,,85.0,12.0,
szárított paradicsom,zöldségek,zöldségkonzervek,14.11,2.028,55.76,14.56,0.356,0.194,0.107,0.11,0.332,0.1046,0.00905,0.039200000000000006,0.426,1.115,0.009089999999999999,0.00199,0.001423,0.001846,5.5,12.3,37.59,0.000528,0.000489,0.0020870000000000003,68.0,1e-05,,,0.487,524.0,1419.0,43.0,44.0,45902.0,,,,,
gyömbér,ízesítők,friss fűszernövény,1.82,0.511,17.77,78.89,0.034,0.043,0.013,0.016,0.16,0.0288,0.00075,0.005,0.203,0.154,0.0006,0.00034,0.00022600000000000002,0.000229,0.7,2.0,1.7,2.5e-05,3.4e-05,0.000203,11.0,0.00026000000000000003,,,0.154,,,0.1,,,,,,,
