Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Fehérje,Zsír,Szénhidrát,Víz,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,Telített zsírsav,Többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,Rost,Cukor,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,Egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
feketeerdő sonka,"felvágottak, húskrémek",sonkák,26.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karamellás pudingpor,édesítők,"puding, pudingpor",0.26,0.05,91.27,8.32,0.013,0.003,0.009,0.002,,0.0004,,,0.009,0.025,0.00047,5.9999999999999995e-05,5e-05,5.3e-05,2.8,0.9,,,,,,,,,0.016,,,,,,,,,,
keserűmandula aroma,ízesítők,aroma,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fajita fűszerkeverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fokhagyma szósz,ízesítők,fűszerkrém,0.0,2.0,9.0,0.0,,,0.6,,,,,,2.0,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,
feketeribizli szörp,italok,szörpök,0.0,0.0,78.0,0.0,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,
marha velőscsont,"húsok, belsőségek",marha,6.7,0.0,0.0,7.4,0.107,,,,,,0.0002,,,,0.0045,,,,,,,4e-05,,,,,,,,,,,,,,,,,
mangalica zsír,zsiradékok,állati eredetű zsiradékok,0.0,95095.5,0.0,0.0,,,,,,0.0497,,,39.2,11.2,,0.00011,,,0.2,,,,,,,0.0006,102.0,,45.1,,,,,,,,95.0,,
sovány tejpor (cukrozott),tejtermékek,egyéb tejtermék,36.16,20000.73,51.98,3.16,0.968,0.11,0.535,1.257,0.361,0.1692,0.0009509999999999999,0.0068,0.499,0.03,0.00032,0.00408,4.1e-05,2e-05,27.3,,51.98,0.000415,0.00155,0.003568,50.0,,,4.03,0.201,1.0,,0.1,6.0,,,,20.0,6.0,
hosszúmetélt,tészták,hagyományos tészta,13.04,1.012,74.67,9.9,0.189,0.053,0.006,0.021,0.142,0.015099999999999999,0.007176999999999999,,0.277,0.564,0.0033,0.00141,0.000289,0.0009170000000000001,63.2,3.2,2.67,0.000891,0.0004,0.000431,237.0,0.00011,,,0.171,,18.0,0.1,,,,,,,219.0
őszibaracklekvár,"lekvár, dzsem",lekvár,0.37,0.048,68.86,30.47,0.019,0.004,0.032,0.02,0.02,0.010199999999999999,3.5999999999999994e-05,0.0088,0.01,,0.00049,5.9999999999999995e-05,0.0001,4e-05,2.0,1.1,48.5,1.6e-05,7.6e-05,2e-05,11.0,0.00011999999999999999,,,0.038,,,,,,,,,,
pálinka,italok,alkoholos ital,0.0,0.0,0.0,66.6,0.005,,0.001,,,,,,,,0.00011999999999999999,7.000000000000001e-05,5e-05,1.7999999999999997e-05,,,,8e-06,,,,,,,,,,,,,,,,,
pálmazsír,zsiradékok,növényi eredetű zsiradék,0.0,98.0,0.0,0.0,,,,,,,,,53.0,8.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,
paprikás kolbász,"felvágottak, húskrémek","kolbász, szalámi",22.0,16.0,0.0,0.0,,,1.7,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kenyérszalonna,"felvágottak, húskrémek",szalonna,4.0,27.0,0.0,18.0,,,0.018,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sprotni (konzerv),halak,halkészítmények,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tejszínhab,tejtermékek,"tejszín, tejföl",3.2,76021.074,12.49,61.33,0.089,0.011,0.008,0.101,0.041,0.016800000000000002,7.000000000000001e-05,,13.831,0.825,5e-05,0.00037,1e-05,1e-06,1.4,,8.0,3.7e-05,6.500000000000001e-05,0.000305,3.0,0.00064,16.0,0.29,6.418,43.0,,1.9,188.0,,,,76.0,184.0,
tejszínhab por,ízesítők,egyéb,2.0,0.0,63.0,0.0,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
mangalicaszűz,"húsok, belsőségek",mangalica,20.95,65001.857,0.0,76.0,0.247,0.027,0.053,0.005,0.777,0.0808,0.006684,,0.698,0.367,0.00098,0.00189,8.999999999999999e-05,1.4999999999999999e-05,30.8,,,0.000998,0.000342,0.000846,,0.00022,8.0,0.51,0.792,,,,,,,,65.0,,
cseresznyelekvár,"lekvár, dzsem",dzsem,0.37,0.048,68.86,30.47,0.019,0.004,0.032,0.02,0.02,0.010199999999999999,3.5999999999999994e-05,0.0088,0.01,,0.00049,5.9999999999999995e-05,0.0001,4e-05,2.0,1.1,48.5,1.6e-05,7.6e-05,2e-05,11.0,0.00011999999999999999,,,0.038,,,,,,,,,,
mandulaaroma,ízesítők,aroma,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fusilli tészta,tészták,olasz tészta,13.04,1.012,74.67,9.9,0.189,0.053,0.006,0.021,0.142,0.015099999999999999,0.007176999999999999,,0.277,0.564,0.0033,0.00141,0.000289,0.0009170000000000001,63.2,3.2,2.67,0.000891,0.0004,0.000431,237.0,0.00011,,,0.171,,18.0,0.1,,,,,,,219.0
füstölt sajt,tejtermékek,sajtok,22.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaukázusi kefir,tejtermékek,"kefír, joghurt",3.47,13003.081,4.66,87.9,0.095,0.012,0.046,0.121,0.032,0.0152,7.5e-05,0.0005,2.096,0.092,5e-05,0.0005899999999999999,8.999999999999999e-06,4e-06,2.2,,4.66,2.9e-05,0.00014199999999999998,0.000389,7.0,5.9999999999999995e-05,2.0,0.37,0.893,5.0,,0.2,27.0,,,,13.0,27.0,
kockacukor,édesítők,cukrok,0.0,0.0,99.98,0.02,,,0.001,0.001,,,,,,,5e-05,1e-05,7e-06,4e-06,0.6,,99.8,,1.9e-05,,,,,,,,,,,,,,,,
kovász,egyéb alapanyagok,egyéb,5.0,0.0,38.0,5.0,0.054,0.011,0.001,0.007,,0.005,,,,,,,,,17.0,1.0,,,,,13.0,,,,,,9.0,,,,,,,,
tömlős krémsajt,tejtermékek,sajtok,8.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krémtúró,tejtermékek,túrófélék,5.0,2.0,15.0,0.0,,,0.03,,,,,,2.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
mandulapehely,egyéb gyümölcsök,egyéb gyümölcskészítmény,21.4,49.736,18.67,4.51,0.481,0.268,0.019,0.236,0.115,0.0521,0.0035,,3.953,12.368,0.00328,0.00297,0.001027,0.001835,3.2,9.9,4.63,0.000191,0.0007109999999999999,0.000314,49.0,0.02375,,,33.415,4.0,1.0,,,,,,,,
chilipaszta,ízesítők,fűszerkrém,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curacao szirup,édesítők,szirup,0.0,0.0,76.79,22.81,,0.001,0.062,0.013,,,,,,,,0.00044,,,0.7,,76.77,5.9e-05,,,,,,,,,,,,,,,,,
kandírozott ananász,egyéb gyümölcsök,kandírozott gyümölcs,0.34,0.038,82.74,16.7,0.005,0.004,0.098,0.018,,0.0022,,,0.01,0.02,0.00017,5e-05,2.9e-05,0.000111,0.6,1.6,80.68,,,,,4e-05,,,0.008,9.0,11.0,0.3,1.0,,,5.0,,,
lapkasajt,tejtermékek,sajtok,24.99,89027.46,1.43,41.0,0.536,0.03,0.973,0.731,0.076,0.0154,8.2e-05,,18.67,0.665,0.00044,0.00375,3.5999999999999994e-05,1.1e-05,14.5,,,3.7e-05,0.000389,0.00028100000000000005,16.0,0.00023999999999999998,20.0,1.54,8.125,11.0,,2.3,243.0,,,,89.0,242.0,
kenőmájas,"felvágottak, húskrémek","májas, májkrém",12.38,118024.638,5.89,53.53,0.23,0.012,0.7,0.022,0.19,,0.0043,0.0035,9.925,2.427,0.00885,0.0023,0.00023999999999999998,0.000155,58.0,2.5,1.65,0.000272,0.00103,0.0029500000000000004,30.0,,,13.46,12.286,,,,4091.0,,,,118.0,4091.0,
sonkás tortellini,tészták,töltött tészta,13.0,0.0,64.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sovány tej,tejtermékek,tejek,3.0,0.0,4.0,0.0,0.04,0.018,0.053,0.114,,,,0.001,,,0.2,,,,,,4.0,0.032,0.15,,,,,,,,,,,,,,,,
sovány túró,tejtermékek,túrófélék,13.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spekulatius keksz,gabonaipari termékek,"keksz, piskóta",3.0,0.0,73.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenmagliszt,gabonaipari termékek,különleges liszt,25.0,16.0,2.0,0.0,,0.55,,0.375,,0.112,0.004,,1.0,12.0,0.008,0.006,,0.003,35.0,38.0,2.0,0.002,,0.001,,,,,3.0,,,,,,,,,,122.0
fagylaltpor,ízesítők,fagyipor,4.0,0.0,77.0,0.0,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,
joghurtos salátaöntet,ízesítők,"mártás, öntet",1.0,2.0,5.0,0.0,,,0.4,,,,,,2.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,
knédli,gabonaipari termékek,tésztaalap,5.0,4.0,20.0,0.0,,,0.29,,,,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
naspolya,gyümölcsök,almatermésűek,0.43,0.139,12.14,86.73,0.027,0.013,0.001,0.016,0.1,,0.00017999999999999998,0.001,0.04,0.091,0.00028000000000000003,5e-05,4e-05,0.000148,0.6,1.7,,1.9e-05,2.4e-05,,14.0,,,,0.008,,,,76.0,,,,,,
búzacsíra,gabonaipari termékek,"pehely, korpa, csíra",23.15,9.04,51.8,11.12,0.842,0.239,0.012,0.039,1.3,,0.006813,,1.665,6.01,0.00626,0.012289999999999999,0.000796,0.013301,79.2,13.2,,0.001882,0.000499,0.0022570000000000003,281.0,,,,1.365,,,,,,,,,,
cukormentes csokoládé,édesítők,"cukorka, csokoládé",10.0,0.0,44.0,0.0,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,
habcsók,édesítők,"cukorka, csokoládé",4.0,0.0,91.0,0.0,,,0.1,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,
öregtészta,egyéb alapanyagok,egyéb,6.0,0.0,47.0,6.0,0.071,0.014,0.001,0.009,,0.006,,,,,,,,,21.0,1.0,,,,,25.0,,,,,,11.0,,,,,,,,
paradicsom ivólé,italok,üdítőital,0.85,0.051,3.53,94.24,0.019,0.011,0.01,0.01,0.07,0.0068,0.0006730000000000001,0.0701,0.019,0.027,0.00039,0.00011,4.2000000000000004e-05,6.8e-05,0.5,0.4,2.58,0.0001,7.8e-05,,20.0,0.00032,,,0.005,270.0,60.0,2.3,23.0,9037.0,,,,,
tintahalkarika,tenger gyümölcsei,tenger gyümölcsei,16.24,112000.333,0.82,80.56,0.387,0.03,0.372,0.09,0.15,,0.001216,0.0053,0.118,0.134,0.006019999999999999,0.00173,0.000587,0.00011,44.8,,,8.999999999999999e-06,0.00091,0.0005,16.0,,,3.0,0.081,,,,113.0,,,,112.0,113.0,
diótej,növényi tejtermékek,növényi tej,1.0,0.0,5.0,0.0,,,0.04,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
édes fehérbor,borok,fehérborok,0.07,0.0,5.23,85.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
görög fűszerkeverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
görögszéna,ízesítők,szárított fűszer,23.0,1.46,58.35,8.84,0.296,0.191,0.067,0.176,0.6,,0.00164,0.003,1.46,,0.033530000000000004,0.0025,0.00111,0.001228,6.3,24.6,,0.000322,0.000366,,57.0,,,,,,,,3.0,,,,,,
gyömbéres keksz,gabonaipari termékek,"keksz, piskóta",5.0,12.0,73.0,0.0,,,0.4,,,,,,6.0,1.0,,,,,,2.0,33.0,,,,,,,,5.0,,,,,,,,,,
gyümölcslé,italok,üdítőital,0.1,0.067,11.3,88.24,0.007,0.005,0.004,0.008,0.018,0.0018,7.3e-05,0.0009,0.022,0.039,0.00011999999999999999,2e-05,1.2e-05,7.4e-05,0.1,0.2,9.62,2.1000000000000002e-05,1.7e-05,4.9000000000000005e-05,,1e-05,,,0.006,,16.0,,,,,,,,
harissa paszta,ízesítők,fűszerkrém,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kókuszos puding,édesítők,"puding, pudingpor",2.0,0.0,17.0,0.0,,,0.04,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
kókuszos pudingpor,édesítők,"puding, pudingpor",0.26,0.05,91.27,8.32,0.013,0.003,0.009,0.002,,0.0004,,,0.009,0.025,0.00047,5.9999999999999995e-05,5e-05,5.3e-05,2.8,0.9,,,,,,,,,0.016,,,,,,,,,,
krokant,egyéb gyümölcsök,egyéb gyümölcskészítmény,25.8,46.263,16.13,6.5,0.376,0.168,0.018,0.092,0.348,0.0525,0.012066,,6.279,15.558,0.00458,0.00327,0.0011439999999999998,0.001934,7.2,8.5,4.72,0.00064,0.000135,0.001767,240.0,0.00833,,,24.426,,,,,,,,,,
pecorino sajt,tejtermékek,sajtok,31.0,104024.0,3.0,0.0,0.76,0.041,1.2,1.064,,,,,17.0,,,0.002,,,14.0,,,,,,,,,,7.0,,,,,,,,104.0,,
tortilla chips,gabonaipari termékek,"pehely, korpa, csíra",6.62,20.539,67.38,1.94,0.234,0.084,0.31,0.104,0.202,0.019100000000000002,0.001498,,2.776,9.179,0.00132,0.00146,0.00010499999999999999,0.000357,8.4,4.7,1.21,0.00013000000000000002,4.2999999999999995e-05,0.00041099999999999996,22.0,0.00297,,,8.584,39.0,1198.0,0.6,8.0,,56.0,57.0,,,
vöröslencse,zöldségek,hüvelyesek,23.91,2.016,63.1,7.82,0.294,0.059,0.007,0.048,0.403,,0.001495,0.0017,0.379,1.137,0.00739,0.0036,0.001303,0.001716,,10.8,,0.00051,0.000106,0.000348,204.0,,,,0.5,35.0,,,3.0,,,,,,
kanadai sütőtök,zöldségek,"tök, spárga",1.0,0.07,11.69,86.41,0.033,0.034,0.004,0.048,0.154,,0.0012,0.021,0.021,0.042,0.0007,0.00015,7.199999999999999e-05,0.000202,0.5,2.0,2.2,0.0001,2e-05,0.0004,27.0,0.0014399999999999999,,,0.007,4226.0,,1.1,532.0,,834.0,3471.0,,,
dekorgyöngy,édesítők,"cukorka, csokoládé",0.0,0.0,99.98,0.02,,,0.001,0.001,,,,,,,5e-05,1e-05,7e-06,4e-06,0.6,,99.8,,1.9e-05,,,,,,,,,,,,,,,,
cseresznyebefőtt,gyümölcsök,befőtt,0.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bárányborda,"húsok, belsőségek",bárány,15.32,74028.45,0.0,53.68,0.143,0.019,0.058,0.014,0.12,,0.006059999999999999,,13.43,2.42,0.0014299999999999998,0.00287,9.2e-05,1.7e-05,17.7,,,0.0001,0.00019,0.00062,15.0,,,2.14,12.6,,,,,,,,74.0,,
báránykaraj,"húsok, belsőségek",bárány,15.32,74028.45,0.0,53.68,0.143,0.019,0.058,0.014,0.12,,0.006059999999999999,,13.43,2.42,0.0014299999999999998,0.00287,9.2e-05,1.7e-05,17.7,,,0.0001,0.00019,0.00062,15.0,,,2.14,12.6,,,,,,,,74.0,,
barbecue szósz,ízesítők,fűszeres szósz,0.82,0.228,40.77,54.71,0.02,0.013,1.027,0.033,0.075,0.0070999999999999995,0.000597,0.0006,0.045,0.101,0.00064,0.00017,7.199999999999999e-05,0.000126,1.3,0.9,33.24,2.3e-05,5.6e-05,0.000164,2.0,0.0008,,,0.082,133.0,88.0,1.8,11.0,4550.0,,2.0,,,
barna rum,italok,alkoholos ital,0.0,0.0,0.0,66.6,0.005,,0.001,,,,,,,,0.00011999999999999999,7.000000000000001e-05,5e-05,1.7999999999999997e-05,,,,8e-06,,,,,,,,,,,,,,,,,
bolognai szósz,ízesítők,"alapporok, mártásalapok, leveskockák",1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandy,italok,alkoholos ital,0.0,0.0,0.0,66.6,0.005,,0.001,,,,,,,,1e-05,,1e-05,,,,,5e-06,7e-06,,,,,,,,,,,,,,,,
burgonyakeményítő,gabonaipari termékek,keményítő,1.0,0.0,83.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
campari,italok,alkoholos ital,0.1,0.233,46.8,31.0,0.006,0.003,0.008,0.001,,0.0008,0.00014399999999999998,,0.106,0.105,5.9999999999999995e-05,2.9999999999999997e-05,4e-05,1.4e-05,0.4,,38.3,4e-06,1.2e-05,,,,,,0.022,,,,,,,,,,
cukormáz,édesítők,"cukorka, csokoládé",6.0,0.0,79.0,0.0,,,0.13,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,
cseresznyepaprika,zöldségek,savanyúságok,0.86,0.128,4.64,93.89,0.02,0.01,0.003,0.01,0.224,0.0055,0.00047999999999999996,0.0804,0.058,0.062,0.00034,0.00013000000000000002,6.6e-05,0.000122,,1.7,2.4,5.7e-05,2.8e-05,9.900000000000001e-05,10.0,0.00037,,,0.008,208.0,341.0,7.4,18.0,,21.0,7.0,,,
bodzabogyó,gyümölcsök,bogyós gyümölcs,0.66,0.35,18.4,79.8,0.039,0.005,0.006,0.038,0.23,,0.0005,0.036,0.023,0.247,0.0016,0.00011,6.1e-05,,0.6,7.0,,7.000000000000001e-05,5.9999999999999995e-05,0.00014000000000000001,6.0,,,,0.08,,,,30.0,,,,,,
himalája só,ízesítők,sófélék,0.0,0.0,0.0,0.2,,0.001,38.758,0.024,,,,,,,0.00033,0.0001,2.9999999999999997e-05,0.0001,0.1,,,,,,,,,,,,,,,,,,,,
cseresznyepaprika krém,ízesítők,fűszerkrém,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csokoládédara,édesítők,"cukorka, csokoládé",4.88,8029.151,61.17,0.97,0.206,0.146,0.024,0.056,0.042,,0.000725,,18.519,1.092,0.00802,0.0020099999999999996,0.001028,0.0014190000000000001,3.0,7.0,47.9,2.5e-05,5e-05,0.000297,,0.00054,,0.23,9.54,26.0,31.0,8.1,2.0,,7.0,1.0,8.0,,
csokoládéforgács,édesítők,"cukorka, csokoládé",4.88,8029.151,61.17,0.97,0.206,0.146,0.024,0.056,0.042,,0.000725,,18.519,1.092,0.00802,0.0020099999999999996,0.001028,0.0014190000000000001,3.0,7.0,47.9,2.5e-05,5e-05,0.000297,,0.00054,,0.23,9.54,26.0,31.0,8.1,2.0,,7.0,1.0,8.0,,
csokoládés puding,édesítők,"puding, pudingpor",3.0,0.0,17.0,0.0,,,0.05,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,
grand marnier,italok,alkoholos ital,0.0,0.0,0.0,66.6,0.005,,0.001,,,,,,,,1e-05,,1e-05,,,,,5e-06,7e-06,,,,,,,,,,,,,,,,
csokiszósz,édesítők,"cukorka, csokoládé",2.1,0.831,65.1,31.0,0.129,0.065,0.072,0.014,0.006,0.0013,0.000322,0.0002,0.519,0.026,0.00211,0.00073,0.000512,0.000382,1.4,2.6,49.65,8.999999999999999e-06,5e-05,1.3e-05,2.0,2e-05,,,0.286,,3.0,0.5,,,,,,,
kendermag,magvak,egyéb magvak,22.0,29.0,35.0,0.0,,,,0.001,,,0.002,0.001,3.0,23.0,,,,,,35.0,,,0.001,,,,,,3.0,,,,,,,,,,
sóvirág,ízesítők,sófélék,0.0,0.0,0.0,0.2,,0.001,38.758,0.024,,,,,,,0.00033,0.0001,2.9999999999999997e-05,0.0001,0.1,,,,,,,,,,,,,,,,,,,,
csontlé,ízesítők,alaplevek,0.0,0.0,0.0,0.0,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cukormentes dzsem,"lekvár, dzsem",dzsem,0.0,0.0,26.0,0.0,,,,,,,,,,,,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,
diabetikus liszt,gabonaipari termékek,lisztek,22.0,0.0,57.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diákcsemege,egyéb gyümölcsök,egyéb gyümölcskészítmény,9.0,0.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cukormentes lekvár,"lekvár, dzsem",lekvár,0.0,0.0,26.0,0.0,,,,,,,,,,,,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,
digestive keksz,gabonaipari termékek,"keksz, piskóta",6.0,18.0,66.0,0.0,,,0.4,,,,,,9.0,2.0,,,,,,3.0,18.0,,,,,,,,7.0,,,,,,,,,,
ecetes torma,ízesítők,fűszerkrém,1.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
édes vörösbor,borok,vörösborok,0.07,0.0,2.31,86.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eperdzsem,"lekvár, dzsem",dzsem,0.37,0.048,68.86,30.47,0.019,0.004,0.032,0.02,0.02,0.010199999999999999,3.5999999999999994e-05,0.0088,0.01,,0.00049,5.9999999999999995e-05,0.0001,4e-05,2.0,1.1,48.5,1.6e-05,7.6e-05,2e-05,11.0,0.00011999999999999999,,,0.038,,,,,,,,,,
eperkonzerv,egyéb gyümölcsök,gyümölcskonzerv,0.56,0.179,23.53,75.35,0.012,0.008,0.004,0.013,0.049,0.0038,5.7e-05,0.0317,0.014,0.129,0.00049,8.999999999999999e-05,6.3e-05,0.0002,0.3,1.7,21.83,2.1000000000000002e-05,3.4e-05,0.000179,28.0,0.00019,,,0.036,16.0,18.0,1.5,1.0,,,,,,
ezersziget öntet,ízesítők,"mártás, öntet",0.0,2.0,13.0,0.0,,,0.5,,,,,,2.0,,,,,,,1.0,11.0,,,,,,,,,,,,,,,,,,
fehér mustármag,ízesítők,szárított fűszer,26.08,34.595,28.09,5.27,0.828,0.37,0.013,0.266,0.397,0.1227,0.004732999999999999,0.0070999999999999995,1.989,10.088,0.009210000000000001,0.00608,0.0006450000000000001,0.002448,208.1,12.2,6.79,0.000805,0.000261,0.0008100000000000001,162.0,0.00507,,,22.518,18.0,568.0,5.4,2.0,,,,,,
fasírt fűszerkeverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eperlé,italok,friss gyümölcs leve,0.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
eperlekvár,"lekvár, dzsem",lekvár,0.37,0.048,68.86,30.47,0.019,0.004,0.032,0.02,0.02,0.010199999999999999,3.5999999999999994e-05,0.0088,0.01,,0.00049,5.9999999999999995e-05,0.0001,4e-05,2.0,1.1,48.5,1.6e-05,7.6e-05,2e-05,11.0,0.00011999999999999999,,,0.038,,,,,,,,,,
eperszörp,italok,szörpök,0.0,0.0,78.0,0.0,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,
galambmáj,"húsok, belsőségek",egyéb hús,16.92,345004.118,0.73,76.46,0.297,0.019,0.071,0.008,0.853,0.19440000000000002,0.009728,0.0179,1.563,1.306,0.00899,0.00267,0.000492,0.000255,54.6,,,0.000305,0.001778,0.006233,588.0,0.0007,,16.58,1.249,56.0,,,3296.0,40.0,11.0,11.0,345.0,3290.0,
gránátalma szirup,édesítők,szirup,0.0,0.0,66.91,32.4,0.004,0.004,0.027,0.006,,,,,,,5e-05,0.00013000000000000002,2.6e-05,,0.6,,46.55,,1e-05,,,,,,,,,,,,,,,,
gyöngybab,zöldségek,hüvelyesek,23.36,0.657,60.27,11.32,0.301,0.19,0.016,0.24,0.318,0.06620000000000001,0.000479,,0.219,0.364,0.01044,0.00367,0.000984,0.001796,12.8,15.2,2.11,0.000437,0.000146,0.000732,388.0,0.00020999999999999998,,,0.074,,,5.6,,,,,,,
epres puding,édesítők,"puding, pudingpor",2.0,0.0,17.0,0.0,,,0.06,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
zabtejszín,növényi tejtermékek,növényi tejszínek,0.0,8.0,8.0,0.0,,,0.04,,,,,,1.0,5.0,,,,,,1.0,6.0,,,,,,,,2.0,,,,,,,,,,
zabkeksz,gabonaipari termékek,"keksz, piskóta",8.0,9.0,61.0,0.0,,,0.59,,,,,,9.0,,,,,,,5.0,23.0,,,,,,,,,,,,,,,,,,
görög mazsola,egyéb gyümölcsök,aszalt gyümölcs,3.28,0.136,80.02,14.9,0.101,0.035,0.024,0.064,0.323,0.0111,0.001142,0.0032,0.065,0.057,0.00098,0.00037,0.000228,0.00022600000000000002,0.7,3.3,65.7,8e-06,0.000191,,3.0,0.00011999999999999999,,,0.014,,,3.5,,,,,,,
görögsaláta fűszerkeverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gumicukor,édesítők,"cukorka, csokoládé",6.0,0.0,77.0,0.0,,,0.01,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,
gyömbér üdítő,italok,üdítőital,0.0,0.0,8.76,91.23,,0.001,0.007,0.003,,,,,,,0.00017999999999999998,5e-05,1.7999999999999997e-05,1.3e-05,0.1,,8.9,,,,,,,,,,,,,,,,,,
gyömbérsör,italok,üdítőital,0.0,0.0,8.76,91.23,,0.001,0.007,0.003,,,,,,,0.00017999999999999998,5e-05,1.7999999999999997e-05,1.3e-05,0.1,,8.9,,,,,,,,,,,,,,,,,,
koriandermag,ízesítők,szárított fűszer,12.37,16.32,54.99,8.86,0.409,0.33,0.035,0.709,,,0.00213,0.021,0.99,1.75,0.01632,0.0047,0.000975,0.0019,26.2,41.9,,0.00023899999999999998,0.00029,,,,,,13.58,,,,,,,,,,
majonézes torma,ízesítők,fűszerkrém,1.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marinara szósz,ízesítők,"mártás, öntet",1.39,2001.189,7.43,87.87,0.034,0.018,0.437,0.026,0.173,0.013699999999999999,0.0039169999999999995,0.002,0.218,0.673,0.00073,0.0002,8.2e-05,0.000127,1.4,1.8,4.91,2.4e-05,6.1e-05,7.6e-05,13.0,0.0024,,,0.298,370.0,176.0,13.9,31.0,12717.0,,,2.0,,
medvehagyma pesto,ízesítők,fűszerkrém,7.0,7.0,8.0,0.0,,,0.98,,,,,,7.0,,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,
milánói alappor,ízesítők,"alapporok, mártásalapok, leveskockák",6.0,0.0,57.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milánói szósz,ízesítők,"alapporok, mártásalapok, leveskockák",2.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
